hshd_id,prod_desc,Mar,Apr,May
3376002291,HNTS MEAT FLV PASTA SAUCE,1,0,0
3376163223,RAGU SPICY ITL STYL SAUCE,1.8900000000000001,0,0
3376542041,HMK CARD MDAY MOTHER,0,0,5.29
3377032853,HMK CARD BRTHDAY CROWN,3.99,0,0
3377032853,MZTA MARINARA PASTA SAUCE,8.78,0,0
3377285583,HMK CARD ADMIN ANYONE,0,2,0
3377285583,HMK CARD MDAY,0,0,4.99
3377285583,HMK CARD MDAY ANYONE,0,3.99,0
3377285583,HMK CARD MDAY MOTHER,0,2.99,7.99
3377285583,SLV PLT TOMTO MARNARA SCE,8.97,0,0
3377285583,SNW BMBE WHITE CLAM SAUCE,0,0,2.39
3377528247,HMK BAG LG BABY BOY,0,3.99,0
3377528247,HMK CARD BABY CLASSIC,0,4.99,0
3377528247,HMK TISSUE 8SHT SOLID,0,1.99,0
3378020265,HMK CARD MDAY MOTHER,0,0,6.99
3379767653,HMK CARD SYMPTHY CROWN,3.99,0,0
3379767653,PRGO HMSTYL ALFRDO SAUCE,0,0,2.19
3379815863,KRO ROAST RED PEP & GARLC,1.49,0,0
3380253171,HMK CARD MDAY MOTHER,0,0,7.99
3380394851,MIDS PIZZA SAUCE,0,4.58,0
3382573943,HMK TISSUE 10SHT WHITE,0,0,1.99
3382607975,BRTL LIGHT ALFREDO SAUCE,5.98,0,0
3382607975,HMK CARD LOVE,6.99,0,0
3382607975,HMK ROLL WRAP BLU GRN BOY,0,0,3.99
3382607975,MZTA NPA VLY BSL PSTO SCE,3.69,0,0
3382838385,HMK BAG LG BABY BOY,3.99,0,0
3382838385,HMK READY TO GO BLUE,5.99,0,0
3382838385,HMK TISSUE 6SHT LT BLU,1.99,0,0
3382838385,KRO ALFREDO SAUCE,0,0,3
3382838385,PRGO FLVRD W/MEAT ITL SCE,2.19,3.59,0
3382838385,PRGO TOM BSL GAR ITL SCE,2.19,0,0
3382838385,PRGO TRAD ITALIAN SAUCE,0,0,4.99
3382838385,PRGO TRADTNAL ITAL SAUCE,0,0,3.59
3382838385,PRSL BASIL PESTO ALFD SCE,0,0,2.5
3382838385,PSST 4 CHSE PASTA SAUCE,0,0,0.79
3382838385,PSST GARLIC & HERB SAUCE,0,0,0.79
3384624251,RAGU CLSC ALFRDO CHSY SCE,0,0,1.5
3386518781,HMK CARD FRIEND SHOEBOX,0,0,3.49
3386518781,HMK CARD MDAY MOTHER,0,0,3.49
3386518781,HNTS ITL GRLC & HRB SAUCE,1,0,0
3388370521,HMK CARD BRTHDAY SHOEBOX,0,0,3.49
3388420527,PRGO TRADTNAL ITAL SAUCE,0,4.38,0
3390072841,HMK ORNAMENT FLUFFBALL,0,11.98,0
3390072841,PRGO CHKY GDN CMB ITL SCE,4.38,0,0
3390072841,PRGO CHKY GDN TOM ON GRLC,0,0,2.19
3390072841,PRGO RSTD GRLC & HRB SCE,0,0,2.19
3391138747,BARLLA MARINARA SAUCE,5.97,3.98,2.79
3391138747,BARLLA ROASTED GARLIC SCE,0,0,2.79
3391871945,HMK CARD ANNIVER CROWN,6.99,0,0
3392842423,MIDS ITAL SSG SPAGHTI SCE,3.49,0,0
3393154789,HMK CARD BRTHDAY CLASSICS,4.99,0,0
3394496827,CLSC VODKA PASTA SAUCE,0,1.99,0
